,lower_longitude,upper_longitude,lower_latitude,upper_latitude,fire_count
285,-134.0,-133.0,74.0,75.0,0
286,-134.0,-133.0,75.0,76.0,0
287,-134.0,-133.0,76.0,77.0,0
288,-134.0,-133.0,77.0,78.0,0
289,-134.0,-133.0,78.0,79.0,0
290,-134.0,-133.0,79.0,80.0,0
291,-134.0,-133.0,80.0,81.0,0
292,-134.0,-133.0,81.0,82.0,0
293,-134.0,-133.0,82.0,83.0,0
294,-133.0,-132.0,41.0,42.0,0
295,-133.0,-132.0,42.0,43.0,0
296,-133.0,-132.0,43.0,44.0,0
297,-133.0,-132.0,44.0,45.0,0
298,-133.0,-132.0,45.0,46.0,0
299,-133.0,-132.0,46.0,47.0,0
300,-133.0,-132.0,47.0,48.0,0
301,-133.0,-132.0,48.0,49.0,0
302,-133.0,-132.0,49.0,50.0,0
303,-133.0,-132.0,50.0,51.0,0
304,-133.0,-132.0,51.0,52.0,0
305,-133.0,-132.0,52.0,53.0,0
306,-133.0,-132.0,53.0,54.0,0
307,-133.0,-132.0,54.0,55.0,0
308,-133.0,-132.0,55.0,56.0,0
309,-133.0,-132.0,56.0,57.0,0
310,-133.0,-132.0,57.0,58.0,46
311,-133.0,-132.0,58.0,59.0,9
312,-133.0,-132.0,59.0,60.0,13
313,-133.0,-132.0,60.0,61.0,22
314,-133.0,-132.0,61.0,62.0,1
315,-133.0,-132.0,62.0,63.0,33
316,-133.0,-132.0,63.0,64.0,50
317,-133.0,-132.0,64.0,65.0,39
318,-133.0,-132.0,65.0,66.0,47
319,-133.0,-132.0,66.0,67.0,49
320,-133.0,-132.0,67.0,68.0,15
321,-133.0,-132.0,68.0,69.0,0
322,-133.0,-132.0,69.0,70.0,0
323,-133.0,-132.0,70.0,71.0,0
324,-133.0,-132.0,71.0,72.0,0
325,-133.0,-132.0,72.0,73.0,0
326,-133.0,-132.0,73.0,74.0,0
327,-133.0,-132.0,74.0,75.0,0
328,-133.0,-132.0,75.0,76.0,0
329,-133.0,-132.0,76.0,77.0,0
330,-133.0,-132.0,77.0,78.0,0
331,-133.0,-132.0,78.0,79.0,0
332,-133.0,-132.0,79.0,80.0,0
333,-133.0,-132.0,80.0,81.0,0
334,-133.0,-132.0,81.0,82.0,0
335,-133.0,-132.0,82.0,83.0,0
336,-132.0,-131.0,41.0,42.0,0
337,-132.0,-131.0,42.0,43.0,0
338,-132.0,-131.0,43.0,44.0,0
339,-132.0,-131.0,44.0,45.0,0
340,-132.0,-131.0,45.0,46.0,0
341,-132.0,-131.0,46.0,47.0,0
342,-132.0,-131.0,47.0,48.0,0
343,-132.0,-131.0,48.0,49.0,0
344,-132.0,-131.0,49.0,50.0,0
345,-132.0,-131.0,50.0,51.0,0
346,-132.0,-131.0,51.0,52.0,0
347,-132.0,-131.0,52.0,53.0,0
348,-132.0,-131.0,53.0,54.0,0
349,-132.0,-131.0,54.0,55.0,0
350,-132.0,-131.0,55.0,56.0,0
351,-132.0,-131.0,56.0,57.0,0
352,-132.0,-131.0,57.0,58.0,457
353,-132.0,-131.0,58.0,59.0,649
354,-132.0,-131.0,59.0,60.0,36
355,-132.0,-131.0,60.0,61.0,12
356,-132.0,-131.0,61.0,62.0,0
357,-132.0,-131.0,62.0,63.0,68
358,-132.0,-131.0,63.0,64.0,16
359,-132.0,-131.0,64.0,65.0,0
360,-132.0,-131.0,65.0,66.0,29
361,-132.0,-131.0,66.0,67.0,117
362,-132.0,-131.0,67.0,68.0,414
363,-132.0,-131.0,68.0,69.0,1
364,-132.0,-131.0,69.0,70.0,0
365,-132.0,-131.0,70.0,71.0,0
366,-132.0,-131.0,71.0,72.0,0
367,-132.0,-131.0,72.0,73.0,0
368,-132.0,-131.0,73.0,74.0,0
369,-132.0,-131.0,74.0,75.0,0
370,-132.0,-131.0,75.0,76.0,0
371,-132.0,-131.0,76.0,77.0,0
372,-132.0,-131.0,77.0,78.0,0
373,-132.0,-131.0,78.0,79.0,0
374,-132.0,-131.0,79.0,80.0,0
375,-132.0,-131.0,80.0,81.0,0
376,-132.0,-131.0,81.0,82.0,0
377,-132.0,-131.0,82.0,83.0,0
378,-131.0,-130.0,41.0,42.0,0
379,-131.0,-130.0,42.0,43.0,0
380,-131.0,-130.0,43.0,44.0,0
381,-131.0,-130.0,44.0,45.0,0
382,-131.0,-130.0,45.0,46.0,0
383,-131.0,-130.0,46.0,47.0,0
384,-131.0,-130.0,47.0,48.0,0
385,-131.0,-130.0,48.0,49.0,0
386,-131.0,-130.0,49.0,50.0,0
387,-131.0,-130.0,50.0,51.0,0
388,-131.0,-130.0,51.0,52.0,0
389,-131.0,-130.0,52.0,53.0,0
390,-131.0,-130.0,53.0,54.0,0
391,-131.0,-130.0,54.0,55.0,0
392,-131.0,-130.0,55.0,56.0,0
393,-131.0,-130.0,56.0,57.0,4
394,-131.0,-130.0,57.0,58.0,363
395,-131.0,-130.0,58.0,59.0,154
396,-131.0,-130.0,59.0,60.0,0
397,-131.0,-130.0,60.0,61.0,156
398,-131.0,-130.0,61.0,62.0,2
399,-131.0,-130.0,62.0,63.0,58
400,-131.0,-130.0,63.0,64.0,1
401,-131.0,-130.0,64.0,65.0,0
402,-131.0,-130.0,65.0,66.0,189
403,-131.0,-130.0,66.0,67.0,31
404,-131.0,-130.0,67.0,68.0,42
405,-131.0,-130.0,68.0,69.0,0
406,-131.0,-130.0,69.0,70.0,0
407,-131.0,-130.0,70.0,71.0,0
408,-131.0,-130.0,71.0,72.0,0
409,-131.0,-130.0,72.0,73.0,0
410,-131.0,-130.0,73.0,74.0,0
411,-131.0,-130.0,74.0,75.0,0
412,-131.0,-130.0,75.0,76.0,0
413,-131.0,-130.0,76.0,77.0,0
414,-131.0,-130.0,77.0,78.0,0
415,-131.0,-130.0,78.0,79.0,0
416,-131.0,-130.0,79.0,80.0,0
417,-131.0,-130.0,80.0,81.0,0
418,-131.0,-130.0,81.0,82.0,0
419,-131.0,-130.0,82.0,83.0,0
420,-130.0,-129.0,41.0,42.0,0
421,-130.0,-129.0,42.0,43.0,0
422,-130.0,-129.0,43.0,44.0,0
423,-130.0,-129.0,44.0,45.0,0
424,-130.0,-129.0,45.0,46.0,0
425,-130.0,-129.0,46.0,47.0,0
426,-130.0,-129.0,47.0,48.0,0
427,-130.0,-129.0,48.0,49.0,0
428,-130.0,-129.0,49.0,50.0,0
429,-130.0,-129.0,50.0,51.0,0
430,-130.0,-129.0,51.0,52.0,0
431,-130.0,-129.0,52.0,53.0,0
432,-130.0,-129.0,53.0,54.0,0
433,-130.0,-129.0,54.0,55.0,0
434,-130.0,-129.0,55.0,56.0,6
435,-130.0,-129.0,56.0,57.0,11
436,-130.0,-129.0,57.0,58.0,72
437,-130.0,-129.0,58.0,59.0,0
438,-130.0,-129.0,59.0,60.0,889
439,-130.0,-129.0,60.0,61.0,180
440,-130.0,-129.0,61.0,62.0,50
441,-130.0,-129.0,62.0,63.0,3
442,-130.0,-129.0,63.0,64.0,0
443,-130.0,-129.0,64.0,65.0,3
444,-130.0,-129.0,65.0,66.0,119
445,-130.0,-129.0,66.0,67.0,3
446,-130.0,-129.0,67.0,68.0,10
447,-130.0,-129.0,68.0,69.0,4
448,-130.0,-129.0,69.0,70.0,3
449,-130.0,-129.0,70.0,71.0,0
450,-130.0,-129.0,71.0,72.0,0
451,-130.0,-129.0,72.0,73.0,0
452,-130.0,-129.0,73.0,74.0,0
453,-130.0,-129.0,74.0,75.0,0
454,-130.0,-129.0,75.0,76.0,0
455,-130.0,-129.0,76.0,77.0,0
456,-130.0,-129.0,77.0,78.0,0
457,-130.0,-129.0,78.0,79.0,0
458,-130.0,-129.0,79.0,80.0,0
459,-130.0,-129.0,80.0,81.0,0
460,-130.0,-129.0,81.0,82.0,0
461,-130.0,-129.0,82.0,83.0,0
462,-129.0,-128.0,41.0,42.0,0
463,-129.0,-128.0,42.0,43.0,0
464,-129.0,-128.0,43.0,44.0,0
465,-129.0,-128.0,44.0,45.0,0
466,-129.0,-128.0,45.0,46.0,0
467,-129.0,-128.0,46.0,47.0,0
468,-129.0,-128.0,47.0,48.0,0
469,-129.0,-128.0,48.0,49.0,0
470,-129.0,-128.0,49.0,50.0,0
471,-129.0,-128.0,50.0,51.0,0
472,-129.0,-128.0,51.0,52.0,0
473,-129.0,-128.0,52.0,53.0,0
474,-129.0,-128.0,53.0,54.0,1
475,-129.0,-128.0,54.0,55.0,30
476,-129.0,-128.0,55.0,56.0,46
477,-129.0,-128.0,56.0,57.0,0
478,-129.0,-128.0,57.0,58.0,0
479,-129.0,-128.0,58.0,59.0,2
480,-129.0,-128.0,59.0,60.0,1059
481,-129.0,-128.0,60.0,61.0,17
482,-129.0,-128.0,61.0,62.0,9
483,-129.0,-128.0,62.0,63.0,3
484,-129.0,-128.0,63.0,64.0,0
485,-129.0,-128.0,64.0,65.0,0
486,-129.0,-128.0,65.0,66.0,116
487,-129.0,-128.0,66.0,67.0,93
488,-129.0,-128.0,67.0,68.0,119
489,-129.0,-128.0,68.0,69.0,0
490,-129.0,-128.0,69.0,70.0,1
491,-129.0,-128.0,70.0,71.0,0
492,-129.0,-128.0,71.0,72.0,0
493,-129.0,-128.0,72.0,73.0,0
494,-129.0,-128.0,73.0,74.0,0
495,-129.0,-128.0,74.0,75.0,0
496,-129.0,-128.0,75.0,76.0,0
497,-129.0,-128.0,76.0,77.0,0
498,-129.0,-128.0,77.0,78.0,0
499,-129.0,-128.0,78.0,79.0,0
500,-129.0,-128.0,79.0,80.0,0
501,-129.0,-128.0,80.0,81.0,0
502,-129.0,-128.0,81.0,82.0,0
503,-129.0,-128.0,82.0,83.0,0
504,-128.0,-127.0,41.0,42.0,0
505,-128.0,-127.0,42.0,43.0,0
506,-128.0,-127.0,43.0,44.0,0
507,-128.0,-127.0,44.0,45.0,0
508,-128.0,-127.0,45.0,46.0,0
509,-128.0,-127.0,46.0,47.0,0
510,-128.0,-127.0,47.0,48.0,0
511,-128.0,-127.0,48.0,49.0,0
512,-128.0,-127.0,49.0,50.0,0
513,-128.0,-127.0,50.0,51.0,148
514,-128.0,-127.0,51.0,52.0,0
515,-128.0,-127.0,52.0,53.0,0
516,-128.0,-127.0,53.0,54.0,255
517,-128.0,-127.0,54.0,55.0,339
518,-128.0,-127.0,55.0,56.0,161
519,-128.0,-127.0,56.0,57.0,16
